ID	GLOSS	SRCID
Hale-1973-1	I	01.001
Hale-1973-2	thou	01.002
Hale-1973-3	we (incl)	01.003
Hale-1973-4	this	01.004
Hale-1973-5	that	01.005
Hale-1973-6	who	01.006
Hale-1973-7	what	01.007
Hale-1973-8	not	01.008
Hale-1973-9	all	01.009
Hale-1973-9	all	1009
Hale-1973-10	many	01.010
Hale-1973-11	one	01.011
Hale-1973-12	two	01.012
Hale-1973-13	big	01.013
Hale-1973-14	long	01.014
Hale-1973-15	small	01.015
Hale-1973-16	woman	01.016
Hale-1973-17	man	01.017
Hale-1973-18	person	01.018
Hale-1973-19	fish	01.019
Hale-1973-20	bird	01.020
Hale-1973-21	dog	01.021
Hale-1973-22	louse	01.022
Hale-1973-23	tree	01.023
Hale-1973-24	seed	01.024
Hale-1973-25	leaf	01.025
Hale-1973-26	root	01.026
Hale-1973-27	bark (of tree)	01.027
Hale-1973-28	skin	01.028
Hale-1973-29	flesh	01.029
Hale-1973-30	bone	01.030
Hale-1973-31	grease	01.032
Hale-1973-32	egg	01.033
Hale-1973-33	horn	01.034
Hale-1973-34	tail	01.035
Hale-1973-35	feather	01.036
Hale-1973-36	hair	01.037
Hale-1973-37	head	01.038
Hale-1973-38	ear	01.039
Hale-1973-39	eye	01.040
Hale-1973-40	nose	01.041
Hale-1973-41	mouth	01.042
Hale-1973-42	tooth	01.043
Hale-1973-43	tongue	01.044
Hale-1973-44	fingernail	01.045
Hale-1973-45	foot	01.046
Hale-1973-46	knee	01.047
Hale-1973-47	hand	01.048
Hale-1973-47	hand	1048
Hale-1973-48	belly	01.049
Hale-1973-49	neck	01.050
Hale-1973-50	breasts	01.051
Hale-1973-51	heart	01.052
Hale-1973-52	liver	01.053
Hale-1973-53	drink	01.054
Hale-1973-54	eat	01.055
Hale-1973-55	bite	01.056
Hale-1973-56	see	01.057
Hale-1973-57	hear	01.058
Hale-1973-58	know	01.059
Hale-1973-59	sleep	01.060
Hale-1973-60	die	01.061
Hale-1973-61	kill	01.062
Hale-1973-62	swim	01.063
Hale-1973-63	fly	01.064
Hale-1973-64	walk	01.065
Hale-1973-65	come	01.066
Hale-1973-66	lie	01.067
Hale-1973-67	sit	01.068
Hale-1973-68	stand	01.069
Hale-1973-69	give	01.070
Hale-1973-70	say	01.071
Hale-1973-71	sun	01.072
Hale-1973-72	moon	01.073
Hale-1973-73	star	01.074
Hale-1973-74	water	01.075
Hale-1973-75	rain	01.076
Hale-1973-76	stone	01.077
Hale-1973-77	sand	01.078
Hale-1973-78	earth	01.079
Hale-1973-79	cloud	01.080
Hale-1973-80	smoke	01.081
Hale-1973-81	fire	01.082
Hale-1973-82	ash	01.083
Hale-1973-83	burn	01.084
Hale-1973-84	path	01.085
Hale-1973-85	mountain	01.086
Hale-1973-86	red	01.087
Hale-1973-87	green	01.088
Hale-1973-88	yellow	01.089
Hale-1973-89	white	01.090
Hale-1973-90	black	01.091
Hale-1973-91	night	01.092
Hale-1973-92	hot	01.093
Hale-1973-93	cold	01.094
Hale-1973-94	full	01.095
Hale-1973-95	new	01.096
Hale-1973-96	good	01.097
Hale-1973-97	round	01.098
Hale-1973-98	dry	01.099
Hale-1973-99	name	01.100
Hale-1973-100	body	02a.01
Hale-1973-101	skeleton	02a.02
Hale-1973-102	marrow	02a.03
Hale-1973-103	joint	02a.04
Hale-1973-104	nerve	02a.05
Hale-1973-105	blood vessel	02a.06
Hale-1973-106	ligament	02a.07
Hale-1973-107	wrinkle	02a.08
Hale-1973-108	body hair	02a.09
Hale-1973-109	pubic hair	02a.10
Hale-1973-110	eyebrow	02a.11
Hale-1973-111	eyelash	02a.12
Hale-1973-112	beard	02a.13
Hale-1973-113	mustache	02a.14
Hale-1973-114	skull	02a.15
Hale-1973-115	brain	02a.16
Hale-1973-116	temple	02a.17
Hale-1973-117	forehead	02a.18
Hale-1973-118	cheek	02a.19
Hale-1973-119	jaw	02a.20
Hale-1973-120	face	02a.21
Hale-1973-121	chin	02a.22
Hale-1973-122	eyeball	02a.23
Hale-1973-123	nostril	02a.24
Hale-1973-124	lip	02a.25
Hale-1973-125	molar	02a.26
Hale-1973-126	throat	02a.27
Hale-1973-127	neck	02a.28
Hale-1973-128	shoulder	02a.29
Hale-1973-129	upper back	02a.30
Hale-1973-130	lower back	02a.31
Hale-1973-131	spine	02a.32
Hale-1973-132	chest	02a.33
Hale-1973-133	rib	02a.34
Hale-1973-134	nipple	02a.35
Hale-1973-135	lung	02a.36
Hale-1973-136	waist	02a.37
Hale-1973-137	navel	02a.38
Hale-1973-138	umbilical cord	02a.39
Hale-1973-139	child	02a.40
Hale-1973-140	kidney	02a.41
Hale-1973-141	spleen	02a.42
Hale-1973-142	intestines	02a.43
Hale-1973-143	hip	02a.44
Hale-1973-144	buttock	02a.45
Hale-1973-145	rectum	02a.46
Hale-1973-146	arm	02a.47
Hale-1973-147	shoulder blade	02a.48
Hale-1973-148	right arm	02a.49
Hale-1973-149	left arm	02a.50
Hale-1973-150	armpit	02a.51
Hale-1973-151	elbow	02a.52
Hale-1973-152	palm of hand	02a.53
Hale-1973-153	finger	02a.54
Hale-1973-154	thumb	02a.55
Hale-1973-155	leg	02a.56
Hale-1973-156	thigh	02a.57
Hale-1973-157	shin	02a.58
Hale-1973-158	calf	02a.59
Hale-1973-159	heel	02a.60
Hale-1973-160	sole	02a.61
Hale-1973-161	toe	02a.62
Hale-1973-162	pus	02a.63
Hale-1973-163	earwax	02a.64
Hale-1973-164	tears	02a.65
Hale-1973-165	nasal mucus	02a.66
Hale-1973-166	saliva	02a.67
Hale-1973-167	sputum	02a.68
Hale-1973-168	breath	02a.69
Hale-1973-169	vomit	02a.70
Hale-1973-170	bile	02a.71
Hale-1973-171	feces	02a.72
Hale-1973-172	urine	02a.73
Hale-1973-173	sweat	02a.74
Hale-1973-174	bring	02b1.01
Hale-1973-175	come	02b1.02
Hale-1973-176	approach	02b1.03
Hale-1973-177	pull	02b1.04
Hale-1973-178	go	02b1.05
Hale-1973-179	enter	02b1.06
Hale-1973-180	go out	02b1.07
Hale-1973-181	cause to go out	02b1.07a
Hale-1973-182	go around	02b1.08
Hale-1973-183	cause to go around	02b1.08a
Hale-1973-184	run away	02b1.09
Hale-1973-185	take	02b1.10
Hale-1973-186	push	02b1.11
Hale-1973-187	send	02b1.12
Hale-1973-188	ascend	02b1.13
Hale-1973-189	descend	02b1.14
Hale-1973-190	accompany	02b1.15
Hale-1973-191	escort	02b1.16
Hale-1973-192	follow	02b1.17
Hale-1973-193	chase	02b1.18
